Time Step;Label Index;Name (NA);MIL;SVD;Voxel count;Volume (mm³);Phi (°);Theta (°)
0;178;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;58.282525588538995;-0.0
0;179;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;72.39120351590364;180.0
0;180;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;90.0
0;181;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;64.97048997078424;30.742785540555367
0;182;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;44.999999999999986;-90.0
0;183;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;90.0
0;184;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;90.0
0;185;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;90.0
0;186;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;71.56505117707798;-90.0
0;187;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;17.60879648409634;90.0
0;188;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;148.28252558853902
0;189;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;0.0
0;190;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;0.0
0;191;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;90.0
0;192;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;60.00000000000001;144.73561031724537
0;193;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;45.000000000000014
0;194;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;45.0;-90.0
0;195;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;0.0
0;196;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;58.282525588538995;-0.0
0;197;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;148.28252558853902
0;198;;3.3306690738754696e-16;nan;5.0;8.31875e-07;39.44464459757027;-148.19389998062152
0;199;;3.3306690738754696e-16;nan;5.0;8.31875e-07;90.0;0.0
0;200;;3.3306690738754696e-16;nan;5.0;8.31875e-07;65.50554078077677;-18.434948822922003
0;201;;3.3306690738754696e-16;nan;5.0;8.31875e-07;45.478508624731134;79.55672871298066
0;202;;3.3306690738754696e-16;nan;5.0;8.31875e-07;90.0;54.72001741408811
0;203;;3.3306690738754696e-16;nan;5.0;8.31875e-07;33.6167181707022;-59.72382112671509
0;204;;3.3306690738754696e-16;nan;5.0;8.31875e-07;90.0;71.56505117707799
0;205;;3.3306690738754696e-16;nan;5.0;8.31875e-07;42.59815156726443;-139.51724953991493
0;206;;3.3306690738754696e-16;nan;5.0;8.31875e-07;46.79221719860848;-110.06263641877031
0;207;;3.3306690738754696e-16;nan;5.0;8.31875e-07;90.0;135.0
0;208;;3.3306690738754696e-16;nan;5.0;8.31875e-07;90.0;90.0
0;209;;3.3306690738754696e-16;nan;5.0;8.31875e-07;72.3179043619357;149.20429661376946
0;210;;3.3306690738754696e-16;nan;5.0;8.31875e-07;90.0;72.85656151139553
0;211;;3.3306690738754696e-16;nan;5.0;8.31875e-07;73.79200085089045;-119.86191056335755
0;212;;3.3306690738754696e-16;nan;5.0;8.31875e-07;90.0;108.43494882292202
0;213;;3.3306690738754696e-16;nan;5.0;8.31875e-07;67.5285160721558;-69.16048276263861
0;214;;3.3306690738754696e-16;nan;5.0;8.31875e-07;52.705445070669754;-130.390507057796
0;215;;3.3306690738754696e-16;nan;5.0;8.31875e-07;90.0;-162.8565615113955
0;216;;3.3306690738754696e-16;nan;6.0;9.9825e-07;90.0;59.82955461799756
0;217;;3.3306690738754696e-16;nan;6.0;9.9825e-07;90.0;75.34499646454194
0;218;;3.3306690738754696e-16;nan;6.0;9.9825e-07;90.0;53.13010235415598
0;219;;3.3306690738754696e-16;nan;6.0;9.9825e-07;71.3765058294713;58.38106962388983
0;220;;3.3306690738754696e-16;nan;6.0;9.9825e-07;90.0;167.06682160295276
0;221;;3.3306690738754696e-16;nan;6.0;9.9825e-07;90.0;90.0
0;222;;3.3306690738754696e-16;nan;6.0;9.9825e-07;45.000000000000014;180.0
0;223;;3.3306690738754696e-16;nan;6.0;9.9825e-07;49.796024050665814;-72.28291130025472
0;224;;3.3306690738754696e-16;nan;6.0;9.9825e-07;90.0;129.69017236192244
0;225;;3.3306690738754696e-16;nan;6.0;9.9825e-07;90.0;161.565051177078
0;226;;3.3306690738754696e-16;nan;6.0;9.9825e-07;69.86806829084378;-158.49514223248084
